Date,Subject,Description,Who Id,Call Type,Time,Call Start Time,Call Duration,Call Duration (in seconds),Call Status,Call Id
10/18/2018,Call,Got voicemail,zcrm_4105568000000402725,Outbound,12:00:00 AM,10/18/2018 12:00:00 AM,0:00,0,Unattended Dialled,1
6/4/2019,Call,"Spoke with GK, maintenance director was on the course.",zcrm_4105568000000402994,Outbound,12:00:00 AM,6/04/2019 12:00:00 AM,0:00,0,Unattended Dialled,1
10/18/2018,Call,Spoke with Cindy. Recently had a type of flooring solution done.,zcrm_4105568000000411024,Outbound,12:00:00 AM,10/18/2018 12:00:00 AM,0:00,0,Unattended Dialled,1
9/18/2018,Call,Called and left a VM,zcrm_4105568000000411025,Outbound,12:00:00 AM,9/18/2018 12:00:00 AM,0:00,0,Unattended Dialled,1
9/5/2018,Call,Called GK and she would not let me pass.,zcrm_4105568000000402263,Outbound,12:00:00 AM,9/05/2018 12:00:00 AM,0:00,0,Unattended Dialled,1
9/25/2018,Call,No longer works at FMOL.,zcrm_4105568000000402263,Outbound,12:00:00 AM,9/25/2018 12:00:00 AM,0:00,0,Unattended Dialled,1
10/29/2018,Call,"Spoke to Linda.
Shelly Turner is office manager and decision maker to speak to. Call around 9am",zcrm_4105568000000411053,Outbound,12:00:00 AM,10/29/2018 12:00:00 AM,0:00,0,Unattended Dialled,1
10/25/2018,Call,Spoke to Operator. Jerry and Watly are the janitors but Shonda would make the decisions.,zcrm_4105568000000411054,Outbound,12:00:00 AM,10/25/2018 12:00:00 AM,0:00,0,Unattended Dialled,1
10/29/2018,Call,Left message with gatekeeper,zcrm_4105568000000411054,Outbound,12:00:00 AM,10/29/2018 12:00:00 AM,0:00,0,Unattended Dialled,1
10/30/2018,Call,Got voicemail,zcrm_4105568000000411054,Outbound,12:00:00 AM,10/30/2018 12:00:00 AM,0:00,0,Unattended Dialled,1
11/5/2018,Call,Got voicemail,zcrm_4105568000000411054,Outbound,12:00:00 AM,11/05/2018 12:00:00 AM,0:00,0,Unattended Dialled,1
11/8/2018,Call,left voicemail,zcrm_4105568000000411054,Outbound,12:00:00 AM,11/08/2018 12:00:00 AM,0:00,0,Unattended Dialled,1
11/14/2018,Call,Shonda was in meeting. call back later,zcrm_4105568000000411054,Outbound,12:00:00 AM,11/14/2018 12:00:00 AM,0:00,0,Unattended Dialled,1
11/28/2018,Call,"Spoke with Shonda, said no budget for it",zcrm_4105568000000411054,Outbound,12:00:00 AM,11/28/2018 12:00:00 AM,0:00,0,Unattended Dialled,1
10/17/2018,Call,Left voicemail,zcrm_4105568000000411055,Outbound,12:00:00 AM,10/17/2018 12:00:00 AM,0:00,0,Unattended Dialled,1
10/25/2018,Call,Got Voicemail,zcrm_4105568000000411055,Outbound,12:00:00 AM,10/25/2018 12:00:00 AM,0:00,0,Unattended Dialled,1
11/9/2018,Call,Call back next week,zcrm_4105568000000411055,Outbound,12:00:00 AM,11/09/2018 12:00:00 AM,0:00,0,Unattended Dialled,1
11/13/2018,Call,Got voicemail,zcrm_4105568000000411055,Outbound,12:00:00 AM,11/13/2018 12:00:00 AM,0:00,0,Unattended Dialled,1
11/20/2018,Call,Out for the week,zcrm_4105568000000411055,Outbound,12:00:00 AM,11/20/2018 12:00:00 AM,0:00,0,Unattended Dialled,1
